Lender Number,Lender Loan Number,Delinquent Flag,Account Number,Tax Year,Year For,Billing Type,Real Property Value,Total Personal Value,Principal Due (xxxxxxxx.xx),Interest Due,Cost Due,Total Due
     ,                 , ,108,2016,2016,0,1078950,0,2150.46,0,0,2150.46
     ,                 , ,109,2016,2016,0,95097,0,1085.56,0,0,1085.56
     ,                 , ,110,2016,2016,0,765025,0,7814.08,0,0,7814.08
     ,                 , ,111,2016,2016,0,134184,0,954.59,0,0,954.59
     ,                 , ,112,2016,2016,0,267459,0,2744.87,0,0,2744.87
     ,                 , ,113,2016,2016,0,161754,0,1146.61,0,0,1146.61
     ,                 , ,114,2016,2016,0,84061,0,868.35,0,0,868.35
     ,                 , ,115,2016,2016,0,242061,0,2520.49,0,0,2520.49
     ,                 , ,116,2016,2016,0,22400,2000,20,0,0,20
     ,                 , ,117,2016,2016,0,2094120,0,389.08,0,0,389.08
     ,                 , ,118,2016,2016,0,1246601,0,4119.94,0,0,4119.94
     ,                 , ,120,2016,2016,0,4904456,0,50683.03,0,0,50683.03
     ,                 , ,123,2016,2016,0,99398,0,1146.17,0,0,1146.17
     ,                 , ,124,2016,2016,0,295719,0,3032.78,0,0,3032.78
     ,                 , ,125,2016,2016,0,280514,0,2877.88,0,0,2877.88
     ,                 , ,126,2016,2016,0,274558,0,2817.2,0,0,2817.2
     ,                 , ,127,2016,2016,0,305168,0,3129.05,0,0,3129.05
     ,                 , ,128,2016,2016,0,359614,0,3683.75,0,0,3683.75
     ,                 , ,129,2016,2016,0,276049,0,2832.38,0,0,2832.38
     ,                 , ,132,2016,2016,0,1944498,0,19810.55,0,0,19810.55
     ,                 , ,133,2016,2016,0,161091,0,1661.19,0,0,1661.19
     ,                 , ,134,2016,2016,0,149341,0,704.97,0,0,704.97
     ,                 , ,135,2016,2016,0,164285,0,1713.73,0,0,1713.73
     ,                 , ,143,2016,2016,0,141657,0,1463.2,0,0,1463.2
     ,                 , ,144,2016,2016,0,136856,0,718.06,0,0,718.06
     ,                 , ,146,2016,2016,0,252099,0,2588.38,0,0,2588.38
     ,                 , ,147,2016,2016,0,263716,0,2706.73,0,0,2706.73
     ,                 , ,149,2016,2016,0,288076,0,0,0,0,0
     ,                 , ,150,2016,2016,0,293489,0,3010.06,0,0,3010.06
     ,                 , ,151,2016,2016,0,393094,0,4024.84,0,0,4024.84
     ,                 , ,152,2016,2016,0,263347,0,2702.98,0,0,2702.98
     ,                 , ,153,2016,2016,0,297318,0,3049.07,0,0,3049.07
     ,                 , ,154,2016,2016,0,306985,0,3147.56,0,0,3147.56
     ,                 , ,155,2016,2016,0,133587,0,1380.98,0,0,1380.98
     ,                 , ,157,2016,2016,0,332678,0,3409.32,0,0,3409.32
     ,                 , ,158,2016,2016,0,338610,0,3469.76,0,0,3469.76
     ,                 , ,159,2016,2016,0,399852,0,4093.69,0,0,4093.69
     ,                 , ,163,2016,2016,0,152588,0,1594.57,0,0,1594.57
     ,                 , ,164,2016,2016,0,148597,0,1553.9,0,0,1553.9
     ,                 , ,165,2016,2016,0,154121,0,1610.19,0,0,1610.19
     ,                 , ,166,2016,2016,0,130556,0,1350.11,0,0,1350.11
     ,                 , ,167,2016,2016,0,130221,0,1346.69,0,0,1346.69
     ,                 , ,168,2016,2016,0,142389,0,1470.66,0,0,1470.66
     ,                 , ,169,2016,2016,0,187320,0,1968.42,0,0,1968.42
     ,                 , ,170,2016,2016,0,186780,0,1942.91,0,0,1942.91
     ,                 , ,171,2016,2016,0,156335,0,1632.74,0,0,1632.74
     ,                 , ,172,2016,2016,0,167209,0,1743.53,0,0,1743.53
     ,                 , ,173,2016,2016,0,129163,0,0,0,0,0
     ,                 , ,174,2016,2016,0,127918,0,1323.23,0,0,1323.23
     ,                 , ,175,2016,2016,0,157231,0,1641.87,0,0,1641.87
     ,                 , ,176,2016,2016,0,162437,0,1694.9,0,0,1694.9
     ,                 , ,177,2016,2016,0,156076,0,1630.11,0,0,1630.11
     ,                 , ,178,2016,2016,0,146299,0,1530.5,0,0,1530.5
     ,                 , ,179,2016,2016,0,314863,0,0,0,0,0
     ,                 , ,180,2016,2016,0,471521,0,4823.85,0,0,4823.85
     ,                 , ,181,2016,2016,0,297767,0,3053.65,0,0,3053.65
     ,                 , ,182,2016,2016,0,316453,0,3244.02,0,0,3244.02
     ,                 , ,183,2016,2016,0,335594,0,3439.03,0,0,3439.03
     ,                 , ,184,2016,2016,0,260196,0,2670.88,0,0,2670.88
     ,                 , ,185,2016,2016,0,304179,0,3118.97,0,0,3118.97
     ,                 , ,186,2016,2016,0,304911,0,3126.43,0,0,3126.43
     ,                 , ,187,2016,2016,0,262146,0,2690.75,0,0,2690.75
     ,                 , ,188,2016,2016,0,323987,0,3320.78,0,0,3320.78
     ,                 , ,191,2016,2016,0,3077242,0,31350.94,0,0,31350.94
     ,                 , ,192,2016,2016,0,591834,0,6029.6,0,0,6029.6
     ,                 ,Y,193,1992,1992,0,135400,0,528.29,1131.86,2.5,1662.65
     ,                 ,Y,193,1993,1993,0,135400,0,1865.14,3828.2,2.5,5695.84
     ,                 ,Y,193,1994,1994,0,135400,0,1804.21,3540.76,2.5,5347.47
     ,                 ,Y,193,2013,2013,0,104935,0,961.83,242.86,62.59,1267.28
     ,                 ,Y,193,2014,2014,0,104935,0,1030.25,167.42,2.65,1200.32
     ,                 , ,193,2016,2016,0,63515,0,647.09,0,0,647.09
     ,                 , ,194,2016,2016,0,213135,0,551.63,0,0,551.63
     ,                 , ,195,2016,2016,0,547781,0,1631.4,0,0,1631.4
     ,                 , ,197,2016,2016,0,521276,0,2179.72,0,0,2179.72
     ,                 , ,198,2016,2016,0,236856,0,2433.09,0,0,2433.09
     ,                 , ,201,2016,2016,0,544847,0,5570.91,0,0,5570.91
     ,                 , ,203,2016,2016,0,470648,0,4814.96,0,0,4814.96
     ,                 , ,204,2016,2016,0,172513,0,1777.56,0,0,1777.56
     ,                 , ,205,2016,2016,0,352758,0,3613.9,0,0,3613.9
     ,                 , ,207,2016,2016,0,57872,0,649.6,0,0,649.6
     ,                 , ,208,2016,2016,0,159480,0,1644.78,0,0,1644.78
